我家熊孩子不熊 || 点赞16 || 评论804
最近手头紧，正好赶上房贷，上班有些心不在焉。中午老板来视察，似乎是看出我的疑虑便把我叫到了办公室问我是不是最近遇到什么困难让我说出来他听听。听了老板的话语我心里暗自窃喜，便把我所想之事跟老板讲了一遍，老板听完放下手里的杯子温和的说到：没事的，小伙子，这都是小事不必放在心上别为了这点钱扰乱了你上班的激情，好了，你出去好好工作吧!吃货最怕饿梦. || 点赞48 || 评论1942
闺蜜偷偷问我：你说口疮传染不?我：应该不会！咋了，谁有口疮？闺蜜：我有口疮，可我男朋友刚刚给我微信说他下面长了个疮很疼，非赖我给他传染的！！额，，，柏拉图啥啊 || 点赞34 || 评论2147
之前一直想呕吐，常常感到恶心，老公就陪我去医院检查。医生检查完后，老公很关切地问我怎么啦，我有点害羞不愿吱声，走出医院，才羞羞地对他说:“老公，你要当爸爸了。。。”结果那货用力拍了一下我的屁股，高叫一声:“大屁股，干得好!”嘤嘤嘤ヽ(￣ω￣(￣ω￣〃)ゝ包子狗&面… || 点赞2 || 评论191
儿子今年五岁，昨天晚上正在床上玩玩具呢！电视上开始放《大鱼海棠》。小子看到后高兴的叫我。爸爸。今天放大鱼海棠！我说喜欢看你就再看一遍。看了几分钟嘴里念叨！”北冥有鱼，其名为鲲，鲲之大，一锅炖不下。”(⊙o⊙)…这谁教你的！是你看手机糗百的时候说的啊！(⊙o⊙)…我看到好笑的！会念给媳妇分享！并且告诉媳妇这是糗百才人写的！这小子就记着心里了。老爸真不想让你早污啊！下次老爸一定注意！！曾经沧南难为水～ || 点赞19 || 评论2121
有个表弟今年读八年级。他家养了只猫，向来都很温顺，近几天显得有点暴躁。表弟将这事告诉了姑姑，没想到姑姑竟然从猫咪的反常举动，击破了表弟早恋的事实。姑姑说：猫咪告诉她，最近总有人给它喂狗粮……放荡不羁的夜晚 || 点赞6 || 评论1107
从别的地方挖过来的。沐莘 || 点赞12 || 评论1496
和老公吵了一架，跟女儿搭公车回娘家。在路上我跟女儿说，不要你爸爸了，妈妈再给你找个爸爸！第二天带女儿去吃金拱门的时候，看到隔壁桌的一个帅哥，直接走过去说哥哥，你当我爸爸好不好然后给薯条我吃。我勒个去，帅哥深深的看了正在吃鸡腿的我，说小妹妹，哥哥我有女朋友，薯条你就拿去把！荒天语 || 点赞62 || 评论1654
神评就给你们了。乌镇相逢居客栈 || 点赞11 || 评论226
一女子总喜欢扯对象衣服，男子:别扯我的衣服，女子:你说话能不能不要这么粗暴，能不能学学人家加个宝贝，男子:别扯我的宝贝衣服放我出去我没病..… || 点赞14 || 评论1453
他被分配当海员，船上没女人，非常寂寞。这天他找到船长问：我最近总想女人，怎么办？船长：你跟我来。船长带他来到个大木桶旁，说：看见桶边上的洞了吗？你试试吧。他试了，果然不错，问：船长，我能每天都用这个吗？船长：当然可以，除了星期六。他：星期六为什么不行？船长：星期六轮到你进桶里啦！胖香 || 点赞15 || 评论952
我哥的死党刚子来家里玩，小侄子拿着玩具金箍棒指着人家念叨:“呔！秃驴！我叫你一声你敢答应么？！”我哥连忙呵斥，刚哥拿下帽子哈哈一笑说:“小屁孩眼神够毒啊，今天刚剃了光头，带了帽子还被发现了，，”现在换小侄子不淡定了，拎着金箍棒呆愣当场，喃喃自语:“这么灵？以后我都不敢乱喊咒语了，，”傻晴° || 点赞70 || 评论4558
最近女同事被几个男生追，我酸酸的说:果然人长得漂亮，就是好！追你的男生都排成排了！女同事羞涩的看了我一眼说道:别瞎说，那是因为他们都没发现你有趣的灵魂～[哀怨][哀怨]婆婆你快发货啊 || 点赞37 || 评论861
刚刚朋友圈看来的，同事跟她女儿的对话，我也好想知道“普通”是哪里啊[流鼻血][流鼻血]清风摸脸 || 点赞5 || 评论355
一辆人力三轮正在拉客，拐弯处&#39;人车较多&#39;正好挡着一辆QQ车，QQ车司机狂按喇叭，人力三轮师傅回头，淡定的说&#39;尼玛的，你车还没我车贵！想想也是，人力三轮上照也得有6万吧。我是煮茶 || 点赞21 || 评论1558
我妹妹高中时：“哥，班草答应跟我约了，给我点钱，我整理一下自己！”我希望她把一头长发整漂亮点，于是给了她几百。   下午，我路过公园篮球场，看到我妹妹理了个板寸，穿着背心短裤，运着球与班草在篮球场上厮杀...伺候不爽你弄死我 || 点赞9 || 评论954
周末陪老岳父喝点小酒，突然一哥们来电话，我顺手点了免提。哥们：快出来喝酒！哥几个都在呢！ 我：今天不行，我现在陪岳父吃饭呢。哥们：那你抓紧喝，我三杯白酒，把我岳父放倒了才出来的。你也快点。看着我岳父的脸，我不知道该怎么回了……[生气了][生气了]林晓九的忧伤哥 || 点赞54 || 评论3521
“我以后再也不随便发表情包了…”“为啥啊？”“昨天家族群未来岳母 娘发了个大红包，我一激动，就把“发红包的 咪 咪 好大” 这表情发出去了……”石榴木G || 点赞7 || 评论768
转来的，原创不详帅的没法出门 || 点赞11 || 评论228
五菱宏光，神车。好吃的焦糖饼干……… || 点赞15 || 评论798
嫂子在小院种了很多蔬菜。昨晚，哥哥看着刚冒出的嫩嫩的菜芽，说：媳妇，你买个喷壶吧……侄子一听，大声说：不用买，我有小喷壶。说完，掏出小 鸟，像洒水车似的，边走边撒……过夜的开水 || 点赞10 || 评论975
我跟老爸去地里干活，老爸扛着锄头去了邻家果园聊天，我干到快中午时老爸空着手回来了，叫我歇会儿，抢过我的锄头就挖地去了。我坐下刚拿出手机，老妈就来喊吃饭，训我，就知道玩手机，咦你锄头呢？老爸说，快去隔壁把锄头拿回来啊！贱゜人゜余 || 点赞17 || 评论1254
工作时间接到前台小妹的电话，电话那端强忍着笑意让我去拿快递，我很纳闷，这几天也没买东西啊。到了前台，看到一个小盒子，上面写着:千万别在外包装上面写壮 阳 药，切记！瞬间明白，前台小妹为啥那个表情看我了。这时手机传来微信提示音，我点开一看，是前女友发来的:这个礼物满意否?女人真的是太可怕了......姑苏云琪 || 点赞18 || 评论2042
去幼儿园接儿子放学，发现一个老师居然是个帅哥，我忍不住多看了几眼，儿子说：妈妈，你别看了，这个老师有女朋友了！我说：有女朋友怎么啦，我就不能抢过来吗！儿子说：那你抗揍不？这个老师女朋友，听说是练摔跤的，上一次有个女的喜欢这个老师，被打的老惨了！Luckys： || 点赞1 || 评论96
大姐这是要飞么本宫赐你一丈红☆ || 点赞62 || 评论536
休息一天，和同事一起去了心心念念的宋城，早上九点出发一直玩到晚上八点回来，白天小学生超级多晚上老年人旅游团超级多，活活走了20000步，累死了，很久没有这样运动过了，门票花了290吃饭花了120，整体感觉还不错，就是脚疼腿酸，友情提示：刚进门那家古装拍照，衣服很垃圾，服务态度也很垃圾，有一些恶意消费的意向，态度一定要坚定一些，不然就要莫名其妙花好几百，千古情表演三区一入口不买他们家饮料不能坐他们家椅子，还有就是丽江恋歌停演了，感觉很遗憾，给各位糗友做个攻略参考。傻晴° || 点赞15 || 评论1042
下午一客 户来店 里，一直在说:你们这 车不 错啊，我们老家都 有 卖 了，广 告打的也到 处都是！我赶紧附和道:是啊是啊，这 车 销 量不错，好多 地方 都有窝 点……窝 点……鬼龙小爆 || 点赞27 || 评论2936
和女票在路上闲逛，看到别人牵着一只小狗，小小的特可爱。不太认识狗的种类，就问女票“那个是什么狗？好可爱，真招人稀罕。”女票二话不说，不顾别人诧异的目光，跑过去抱起一脸惊吓挣扎的小狗，直接把小狗翻了过来……“龙哥，这个是只公狗！”女票笑嘻嘻冲我喊道……花凝雪 || 点赞15 || 评论772
刚怀孕的时候，婆婆来家里问我爱吃什么，各种好吃的都给我做，什么事都不让我做，就让我一天天等吃。我的亲妈呢，听说我怀孕了，来家里第一天，往沙发上一趟，看着电视机，啃着苹果，就跟我说：闺女，晚上给妈炒个青菜吃，少放盐！娇滴滴小猫咪 || 点赞9 || 评论613
刚刚接电话… 一个女的的声音说：你好 我就说：你好，请问你找谁啊？ 然后她说：你妈妈在嘛？ 我说：在啊 这女的突然很小声地问了句：现在该怎么办啊？ 我一愣，刚想问怎么了 就在这时！ 一个男声很小声地说：就说你是爸爸那边的朋友…… 女的：哦哦… 你好，我是你爸爸的朋友，现在有点急事，需要一笔钱………… 我艹！………………… 这他吗的就不能培训好了再来么？？？ 我还不值得你们认真骗我是嘛？？？童.趣 || 点赞13 || 评论922
初中刚毕业，陪哥们去向他远房的姨娘表白，我们仨是同班同学，路上就跟哥们商量，说你们不仅是亲戚，还特么是你长辈，要不让我先试试？哥们不同意，俩人争执起来竟打了一架，一赌气决定都不去，然后俩人在网吧愉快的玩了一下午游戏。吃了两碗又盛 || 点赞16 || 评论2060
昨天领导在单位群里通知，要整顿办公纪律，工作期间不准看手机。有同事开玩笑说:等群里再通知开会的时候咱们谁也不去哈！不看手机怎么能知道呢？我附和说:就是，不来请我我都不去！下班时，我一出去，发现同事们的车都还在院里，一台不少，心里咯噔一下，打开手机一看，居然真的通知开会了！为什么没人叫我？动物园里的猴 || 点赞29 || 评论1433
女友最近饭量猛长，人也跟吹气似的，半个月胖了八斤，我不理解的问她“亲爱的，你是不是中 邪了，以前长半斤肉肉都跟我哭闹半天，现在这是咋了。。”女友瘪嘴说“凭啥每次出游都是你妹妹坐副驾驶，还不是因为她胖，我要猛吃，长的比她还胖，下次出游我就可以坐副驾驶挨着你了。。”呃，，小二黑的王 || 点赞31 || 评论1137
纯图割鸡割鸡割鸡鸡摸茎校尉 || 点赞5 || 评论166
刘备为什么能做老大？因为他是用双手。西湖醋鱼夹生 || 点赞32 || 评论1504
给无人驾驶汽车点个赞！花凝雪 || 点赞69 || 评论4644
我和闺蜜的预产期是同一天，闺蜜提前生了，我挺着大肚子去医院看她，刚好她被推去做别的检查了，我就躺在她的病床上体验一下。赶上医生查房，医生看着我说：你前天刚生的，怎么肚子还这么大啊？︴执伞人 || 点赞19 || 评论840
今天总公司派领导下来做问卷调查，我被抽中问卷对象……轮到我时，领导看到我时眼角抽搐了下。问过我姓名，填写在问卷报告之后就用一种审视的眼光看着我。过了好一会领导才开口“带身份证了吗？”我一阵疑惑，问卷调查也要带身份证？不过还好带了，我把身份证给他之后，他看着我的身份证后，在问卷报告性别那一栏写了个女字，然后就把身份证还给了我……苏北阿北 || 点赞6 || 评论784
